oog,name,additional_storage,bundles,ptype,cfs_activity,category_id/id,active_reefer,hazardous_class,status_id/id,size_id/id,sub_category_id/id,id
1,HINTERLAND IMPORT - LOADING ON TRUCK Out Of Gauge (OOG) 20' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,hinterland_iloading_ot_out_of_gauge_oog_20_f_j17
1,HINTERLAND IMPORT - LOADING ON TRUCK Out Of Gauge (OOG) 40' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,hinterland_iloading_ot_out_of_gauge_oog_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD 20' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_20_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD 40' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK 20' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_20_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK 40' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD REEFER 20' FULL,0,0,generic,1,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_reefer_20_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD REEFER 40' FULL,0,0,generic,1,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_reefer_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK REEFER 20' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_reefer_20_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK REEFER 40' FULL,0,0,generic,0,lct_product_category_import,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_reefer_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD DANGEROUS PRODUCTS 20' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_dangerous_p_20_f_j17
